;;;;;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024;MO ΝΕΕΣ ΘΕΣΕΙΣ;ΜΟ ΠΡΟΣΛΗΨΕΙΣ
Εκπαιδευτικό επίπεδο;Περιφέρεια;Φύλο;Κλάδος (1ο επίπεδο ανάλυσης);Επάγγελμα (1ο επίπεδο ανάλυσης);Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;;
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;1;0;1;0;1;0;1;;;;;0;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-1;11;2;7;-1;10;-1;11;-6;10;3;19;1;11
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;58;-1;9;1;2;0;26;1;27;-2;14;0;23
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;1;74;-2;4;4;12;-1;27;-1;55;1;42;0;36
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;1;23;5;17;-2;23;0;24;9;40;2;57;-3;31
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-1;42;-1;16;1;46;3;67;-4;64;-3;67;1;50
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;3;57;6;60;-13;55;-2;48;2;48;-5;54;2;54
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-1;9;2;4;-1;13;-1;11;1;11;1;12;0;10
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;3;30;6;43;-13;44;4;23;-2;29;4;27;0;33
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;;;;;;;;;;;1;1;-1;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;;;;;;;0;4;1;1;-1;;0;3
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;;;;;;;0;2;0;2;0;2;0;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;;;;;;;-1;;0;4;-1;2;1;3
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);1;5;2;3;-2;13;-3;2;1;4;-4;6;1;6
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;4;36;7;44;7;47;-9;40;8;57;5;71;-4;49
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;0;45;-2;65;18;82;3;79;6;87;-1;75;-4;72
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;1;1;;;-1;1;2;3;-1;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;0;3;2;9;16;23;-1;10;-5;10;-6;6;-1;10
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;;;;;0;1;0;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;;;1;1;0;1;0;1;;;5;6;-2;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;;;;;1;1;-1;1;1;2;3;4;-1;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;0;5;0;5;6;19;-4;7;4;10;2;9;-1;9
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);3;24;5;55;3;51;-1;78;14;85;3;111;-5;67
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;0;13;-1;18;1;16;-1;32;35;203;-3;51;-5;56
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;3;5;1;2;5;15;3;18;19;329;1;63;-5;72
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;2;1;2;-1;1;2;4;8;26;1;5;-2;7
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;0;4;0;4;2;3;0;8;8;25;-1;9;-2;9
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;0;1;-1;;-1;;1;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;;;;;;;;;2;2;0;1;-1;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;1;1;2;2;1;6;0;2;-4;78;-1;11;0;17
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;4;10;5;10;-1;15;4;20;17;57;-1;28;-5;23
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διαχείριση ακίνητης περιουσίας;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);1;3;2;3;1;10;0;8;0;11;0;1;-1;6
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;4;154;12;107;10;144;0;178;2;213;6;199;-6;166
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;9;72;-9;33;8;82;4;164;2;257;-3;239;-2;141
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;2;1;2;-1;2;0;5;0;5;1;7;0;4
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;4;14;-2;8;3;17;5;20;2;23;-1;24;-2;18
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;0;1;1;1;1;1;;;1;1;0;1;-1;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;1;5;0;1;0;1;2;7;1;26;6;27;-2;11
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;4;27;-1;10;-1;13;-1;35;-1;57;-1;46;0;31
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;4;519;23;294;-4;384;5;568;21;678;5;674;-9;520
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-7;783;-22;386;0;585;1;670;-32;898;2;1.025;10;725
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;2;3;-2;2;2;5;4;15;1;8;-1;2;-1;6
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;4;12;3;9;4;11;5;28;0;15;1;16;-3;15
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;-1;;;;;;;;1;#DIV/0!
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-1;;;;1;2;1;5;-1;;;;0;4
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;3;1;1;0;2;0;2;-1;2;1;6;0;3
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;1;8;1;5;1;16;6;19;1;17;-3;21;-1;14
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;-1;24;7;23;5;43;-3;43;-1;41;2;35;-2;35
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-1;23;0;12;0;30;-4;35;0;41;3;47;0;31
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;77;2.162;26;1.188;18;1.771;38;2.213;59;2.472;48;2.685;-44;2082
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;237;11.559;-5;5.785;-39;7.943;38;11.118;-30;12.439;-41;12.707;-27;10259
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;5;133;-3;81;9;135;5;144;-7;168;-2;221;-1;147
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;0;390;20;283;-15;314;-3;415;25;443;0;498;-5;391
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ένοπλες Δυνάμεις;;;;;;;;;;;-1;;1;#DIV/0!
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;6;78;4;41;7;71;4;78;-1;85;5;92;-4;74
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;10;268;-6;65;1;78;9;185;-8;186;9;150;-3;155
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;109;3.694;-93;1.232;34;1.722;91;3.068;-22;3.204;-4;3.146;-19;2678
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;14;1.193;22;668;11;906;29;1.171;4;1.266;-5;1.320;-13;1087
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);28;347;17;193;10;253;8;313;5;345;-4;340;-11;299
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;0;4;2;4;0;5;0;5;-1;4;0;15;0;6
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-2;3;4;7;-4;3;2;4;-7;33;0;93;1;24
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;0;4;;;1;1;0;2;0;4;1;5;0;3
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;;;1;1;;;-1;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;5;64;0;38;1;46;-2;44;4;43;5;39;-2;46
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-3;9;2;9;-1;20;-1;43;-2;32;-1;28;1;24
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;-1;11;-1;10;4;9;-1;25;-3;27;-2;21;1;17
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Εκπαίδευση;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-1;6;0;1;0;5;0;5;0;6;0;8;0;5
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Ενημέρωση και επικοινωνία;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;3;4;-1;1;0;1;-1;1;-1;2;;;0;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Ενημέρωση και επικοινωνία;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-2;3;0;2;-2;10;0;8;1;8;-1;11;1;7
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Ενημέρωση και επικοινωνία;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;1;2;-1;;1;1;-2;1;-2;1;-1;;1;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Ενημέρωση και επικοινωνία;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;3;5;-1;2;-1;6;1;5;2;5;-4;5;0;5
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Ενημέρωση και επικοινωνία;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-5;9;4;8;3;32;-3;10;-1;11;0;23;0;16
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Ενημέρωση και επικοινωνία;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;2;35;-1;15;2;9;1;12;-6;15;5;14;-1;17
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Ενημέρωση και επικοινωνία;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-1;5;0;2;1;3;-1;1;1;10;-1;8;0;5
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;1;3;0;9;3;12;1;29;2;62;10;34;-3;25
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-1;27;3;14;0;14;2;24;1;13;-6;14;0;18
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;1;0;1;2;3;;;0;1;0;1;0;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;1;6;3;7;1;7;6;11;-2;3;-4;8;-1;7
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;;;1;4;0;3;-1;2;0;1;3;4;-1;3
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;6;47;3;19;-2;26;1;33;-4;35;-4;50;0;35
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;14;51;15;43;12;56;0;56;11;58;14;69;-11;56
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);1;19;3;6;0;1;-1;5;4;10;9;16;-3;10
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;-4;101;33;108;-2;134;23;234;0;310;51;250;-17;190
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;1;39;0;27;1;13;1;19;-23;39;-1;40;4;30
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;1;1;;;-1;2;0;1;2;5;-1;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;3;80;13;103;7;98;26;139;3;118;22;143;-12;114
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;1;1;-1;;;;0;1
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;-1;29;3;9;-1;11;0;14;0;13;-2;13;0;15
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-1;11;0;10;0;1;1;1;-4;3;-3;1;1;5
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;4;15;3;13;-2;10;5;16;2;26;5;19;-3;17
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Κατασκευές;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);8;62;21;73;1;94;8;105;22;132;17;116;-13;97
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;15;125;18;83;-7;112;5;173;15;149;-5;163;-7;134
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;25;124;0;63;-6;91;-1;103;0;127;-5;113;-2;104
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;;;0;4;0;1;1;3;0;3
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;6;125;14;86;20;107;0;100;-4;107;24;116;-10;107
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;2;2;;;;;;;;;1;2;-2;2
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;1;-1;;-1;;;;1;6;-1;2;0;3
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;6;35;1;18;4;8;1;14;7;16;2;14;-4;18
ΓΕΛ;Περιφέρεια Ιονίων Νήσων;Άνδρες;Μεταποίηση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;0;31;9;25;-2;29;9;35;2;34;3;35;-4;32
