;;;;;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024;MO ΝΕΕΣ ΘΕΣΕΙΣ;ΜΟ ΠΡΟΣΛΗΨΕΙΣ
Εκπαιδευτικό επίπεδο;Περιφέρεια;Φύλο;Κλάδος (1ο επίπεδο ανάλυσης);Επάγγελμα (1ο επίπεδο ανάλυσης);Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;;
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;-6;19;9;67;15;51;-5;37;-2;44;11;68;-4;48
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;6;48;-4;60;16;72;-10;69;-12;60;0;89;1;66
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;1;2;2;2;-2;1;-1;;0;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;0;4;-1;7;7;11;0;7;2;9;-2;5;-1;7
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;0;1;;;0;1;-1;1;;;4;4;-1;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;-1;9;-1;7;2;11;5;15;15;30;5;31;-4;17
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;0;7;1;5;-1;1;0;6;0;5;-3;6;1;5
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;0;8;2;12;2;9;5;16;24;32;-4;22;-5;17
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-3;28;9;51;4;49;-9;57;7;49;7;40;-3;46
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;1;3;0;4;0;5;-4;3;2;5;0;6;0;4
